MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20190219,06005,Amador County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-19,2019-02-25,1
20190212,06005,Amador County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-12,2019-02-18,1
20190205,06005,Amador County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-05,2019-02-11,1
20190129,06005,Amador County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-01-29,2019-02-04,1
20190122,06005,Amador County,CA,33.88,66.12,0.00,0.00,0.00,0.00,2019-01-22,2019-01-28,1
20190115,06005,Amador County,CA,33.88,66.12,0.00,0.00,0.00,0.00,2019-01-15,2019-01-21,1
20190108,06005,Amador County,CA,33.88,66.12,0.00,0.00,0.00,0.00,2019-01-08,2019-01-14,1
20190101,06005,Amador County,CA,33.88,66.12,0.00,0.00,0.00,0.00,2019-01-01,2019-01-07,1
20181225,06005,Amador County,CA,33.88,66.12,0.00,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,06005,Amador County,CA,33.88,66.12,0.00,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,06005,Amador County,CA,33.88,66.12,0.00,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,06005,Amador County,CA,33.88,66.12,0.00,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,06005,Amador County,CA,0.00,100.00,61.24,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,06005,Amador County,CA,0.00,100.00,61.24,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,06005,Amador County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,06005,Amador County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-11-06,2018-11-12,1
20191105,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,1
20190702,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,1
20190625,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,1
20190305,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-05,2019-03-11,1
20190226,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-26,2019-03-04,1
20190219,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-19,2019-02-25,1
20190212,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-12,2019-02-18,1
20190205,06007,Butte County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-02-05,2019-02-11,1
20190129,06007,Butte County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2019-01-29,2019-02-04,1
20190122,06007,Butte County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2019-01-22,2019-01-28,1
20190115,06007,Butte County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2019-01-15,2019-01-21,1
20190108,06007,Butte County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2019-01-08,2019-01-14,1
20190101,06007,Butte County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2019-01-01,2019-01-07,1
20181225,06007,Butte County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,06007,Butte County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,06007,Butte County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,06007,Butte County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,06007,Butte County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,06007,Butte County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,06007,Butte County,CA,0.00,100.00,67.63,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,06007,Butte County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-11-06,2018-11-12,1
20191105,06009,Calaveras County,CA,97.11,2.89,0.00,0.00,0.00,0.00,2019-11-05,2019-11-11,1
20191029,06009,Calaveras County,CA,97.11,2.89,0.00,0.00,0.00,0.00,2019-10-29,2019-11-04,1
20191022,06009,Calaveras County,CA,97.11,2.89,0.00,0.00,0.00,0.00,2019-10-22,2019-10-28,1
20191015,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-15,2019-10-21,1
20191008,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-08,2019-10-14,1
20191001,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-10-01,2019-10-07,1
20190924,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-24,2019-09-30,1
20190917,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-17,2019-09-23,1
20190910,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-10,2019-09-16,1
20190903,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-09-03,2019-09-09,1
20190827,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-27,2019-09-02,1
20190820,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-20,2019-08-26,1
20190813,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-13,2019-08-19,1
20190806,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,1
20190730,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,1
20190723,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,1
20190716,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,1
20190709,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,1
20190702,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,1
20190625,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,1
20190618,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,1
20190611,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
20190514,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,1
20190507,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,1
20190430,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,1
20190423,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,1
20190416,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,1
20190409,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,1
20190402,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,1
20190326,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,1
20190319,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,1
20190312,06009,Calaveras County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,1
